"Education - Out-of-school rate for children of primary school age, both sexes (%)",1970,1970 notes,1971,1971 notes,1972,1972 notes,1973,1973 notes,1974,1974 notes,1975,1975 notes,1976,1976 notes,1977,1977 notes,1978,1978 notes,1979,1979 notes,1980,1980 notes,1981,1981 notes,1982,1982 notes,1983,1983 notes,1984,1984 notes,1985,1985 notes,1986,1986 notes,1987,1987 notes,1988,1988 notes,1989,1989 notes,1990,1990 notes,1991,1991 notes,1992,1992 notes,1993,1993 notes,1994,1994 notes,1995,1995 notes,1996,1996 notes,1997,1997 notes,1998,1998 notes,1999,1999 notes,2000,2000 notes,2001,2001 notes,2002,2002 notes,2003,2003 notes,2004,2004 notes,2005,2005 notes,2006,2006 notes,2007,2007 notes,2008,2008 notes,2009,2009 notes,2010,2010 notes,2011,2011 notes,2012,2012 notes,2013,2013 notes,2014,2014 notes,2015,2015 notes,2016,2016 notes,2017,2017 notes,2018,2018 notes
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.828579903,,3.850620031,,8.67994976,,16.7350502,,15.33697987,,6.491640091,,9.873060226,,11.27398968,,7.85890007,[foot]+[/foot],11.76037979,[foot]‡[/foot],14.53660011,[foot]‡[/foot],15.08965969,[foot]+[/foot],16.65369987,[foot]+[/foot],15.71673965,[foot]+[/foot],16.0464592,[foot]+[/foot],16.2279892,[foot]‡[/foot],16.54158974,[foot]‡[/foot],16.01248932,[foot]‡[/foot],14.48110008,[foot]‡[/foot],15.27394962,[foot]‡[/foot],12.73192024,[foot]‡[/foot],10.70997047,[foot]‡[/foot],6.329319954,[foot]‡[/foot],5.187900066,[foot]‡[/foot],5.737249851,[foot]‡[/foot],5.03470993,[foot]+[/foot],5.945539951,[foot]+[/foot],,
Bahamas,,,,[foot]n[/foot],0.080750003,,3.628170013,,0.610099971,,,[foot]n[/foot],1.141029954,,,,,,,,2.780819893,,,[foot]n[/foot],,,,,4.076059818,,,,,,,,,,,,,,,,11.46399021,,11.1232996,,7.389120102,,,,,,,,,,8.713359833,,,,,,,,,,5.605410099,[foot]‡[/foot],1.417250037,,2.870179892,,1.339169979,,1.392289996,,3.805890083,,2.200700045,,,,,,,,,,,,11.63224983,,,,,
Bahrain,,,23.66032028,,20.79520988,,19.73092079,,18.13788986,,14.71399021,,17.8751297,,17.88611984,,19.94429016,,19.3085804,,17.60169983,,18.00396919,,19.39119911,,16.74144936,,13.38939953,,8.948769569,,3.856270075,,4.484149933,,1.726340055,,0.938600004,,,,0.587239981,,2.991519928,,1.977180004,,2.067719936,,0.89042002,,0.142000005,,0.396620005,,0.05635,,0.468679994,,2.111340046,[foot]‡[/foot],5.144909859,[foot]‡[/foot],5.571640015,[foot]‡[/foot],6.613609791,,7.120429993,,9.802300453,,8.107370377,,,,,,,,,,8.10033989,,7.259190083,,6.26169014,,4.276140213,,2.004559994,,2.099740028,,1.137989998,,,
Bangladesh,49.15306091,,,,,,29.63138008,,,,,,23.75634956,,28.65788078,,29.3888092,,,,,,32.45587158,,,,35.62960815,,37.02769089,,38.85242081,,39.85813904,,40.8529892,,30.57246971,,30.60969925,,27.67579079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.810870171,,4.355040073,[foot]‡[/foot],,,7.419129848,[foot]+[/foot],6.500259876,[foot]+[/foot],5.067949772,[foot]‡[/foot],,,,,,,,,,,,,4.85078001,,,
Barbados,,,13.55976963,,11.94316959,,11.27612019,,,,,,1.174090028,,1.667070031,,1.762509942,,1.127159953,,,,5.388370037,,5.496749878,,3.680799961,,,,,,,,,,,,0.298819989,,2.396820068,,,,10.26632977,,,,,,,,,,,,,,2.809400082,[foot]‡[/foot],4.441699982,,5.384799957,,8.062049866,,8.303310394,,9.502340317,,9.718259811,,7.921790123,,5.186719894,,3.185499907,[foot]+[/foot],6.162630081,[foot]+[/foot],4.919479847,[foot]+[/foot],6.383629799,[foot]+[/foot],,,,,8.509129524,,7.473309994,,7.024829865,,9.573129654,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.41901016,,,,,,,,,,,,3.459860086,[foot]‡[/foot],6.466060162,[foot]‡[/foot],6.339149952,[foot]‡[/foot],7.863969803,[foot]‡[/foot],9.838299751,[foot]‡[/foot],9.825309753,[foot]‡[/foot],9.969900131,[foot]‡[/foot],,,8.055950165,[foot]‡[/foot],8.606780052,,8.982439995,,5.721149921,,6.797399998,,6.57957983,,5.363939762,,3.574450016,,3.986900091,,,
Belgium,,,,,,,,,,,,,,,3.702209949,,,,2.379570007,,1.845020056,,2.959759951,,2.877330065,,6.018420219,,6.70705986,,7.127429962,,5.695849895,,4.314869881,,3.109719992,,,,,,3.465950012,,4.906020164,,2.333630085,,2.958329916,,2.921720028,,2.460299969,,,,,,0.867789984,,0.808009982,,0.818799973,,1.054669976,,2.033030033,,3.640820026,,4.009079933,,3.692399979,,2.755399942,,2.15963006,,2.228889942,,2.47329998,,2.348599911,,2.004590034,,1.966500044,,2.026679993,,1.619250059,,1.33781004,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805649996,[foot]‡[/foot],3.666610003,[foot]‡[/foot],6.471570015,[foot]‡[/foot],,,6.132349968,,4.527649879,,4.927830219,,4.284450054,,4.698979855,,3.714590073,[foot]‡[/foot],2.866899967,,1.985890031,,2.323450089,,0.433189988,,1.112370014,,0.848219991,,0.780579984,,0.823759973,,0.726199985,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.89529037,,49.16003036,,51.09972,,,,51.55624008,,51.07284164,,60.49393082,,,,50.78702164,,46.78644943,,45.51958847,,43.10810089,,40.88154984,,37.52114105,[foot]‡[/foot],,,,,,,,,,,15.46934032,[foot]‡[/foot],12.35111046,[foot]‡[/foot],16.34494019,,13.18550968,,,,9.864299774,,5.76789999,,5.077219963,,5.190899849,,4.493850231,,,,3.639630079,,,,,,2.966340065,,,
Bermuda,,,,,,,,,,,,,,,,,17.28041077,,19.19701004,,,,,,,,,,8.350689888,,6.024740219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.419640064,[foot]‡[/foot],,,,,,,,,,,12.08926964,,16.54212952,,,,,,,,,,,,,
